"","iProfile","iBOFEK2012","iHoofd","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","B13","B14","B15","B16","B17","B18","O01","O02","O03","O04","O05","O06","O07","O08","O09","O10","O11","O12","O13","O14","O15","O16","O17","O18"
"244",15230,412,4,"","","","","","","","","","1","","","","","","","","","4","","","","","","","","","3","2","","","","","","",""
"245",90115240,416,4,"","","","","","","","1","","","","","","","","","","","","","","","","","","3","2","","","","","","","","",""
"246",90215240,416,4,"","","","","","","","1","","","","","","","","","","","","","","","","","","5","23","4","","","","","","","",""
"247",15241,416,4,"","","","","","","","12","","","","","","","","","","","5","","","","","","","4","3","","","","","","","","",""
"248",15250,406,4,"","","","","","","","1","","","","","","","","","","","","","","","","","","3","2","","","4","","","","","5",""
"249",15251,406,4,"","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","45","","","","","3",""
"250",15260,416,4,"","","","","","","","12","","","","","","","","","","","","","","","","","","4","3","","","","","","","","",""
"251",90115270,418,4,"","","","","","","","","1","","","","","","","","","","","","","","","","","","3","2","","","","","","","",""
"252",90215270,418,4,"","","","","","","","","12","","","","","","","","","","","","","","","","","","4","3","","","","","","","",""
"253",15280,419,4,"","","","","","","","","1","","","","","","","","","","4","","","","","","","","","2","3","","","","","","",""
"254",15290,407,4,"","","","","","","","","12","","","","","","","","","","","","","","","","","","","34","","","","","","","5",""
"255",15291,407,4,"","","","","","","","","12","","","","","","","","","","","","","","","","","","","3","5","","","","","","4",""
"256",15300,418,4,"","","","","","","","","12","","","","","","","","","","","","","","","","","","4","3","","","","","","","",""
"257",15310,419,4,"","","","","","","","","1","","","","","","","","","","","","","","","","","","","24","3","","","","","","",""
